split,class,filename
train,cat,cat.3017.jpg
train,cat,cat.6302.jpg
train,cat,cat.6957.jpg
train,cat,cat.10872.jpg
train,cat,cat.3026.jpg
train,cat,cat.12022.jpg
train,cat,cat.7239.jpg
train,cat,cat.1780.jpg
train,cat,cat.1369.jpg
train,cat,cat.9122.jpg
train,cat,cat.2846.jpg
train,cat,cat.3531.jpg
train,cat,cat.8896.jpg
train,cat,cat.5447.jpg
train,cat,cat.2246.jpg
train,cat,cat.7332.jpg
train,cat,cat.408.jpg
train,cat,cat.3683.jpg
train,cat,cat.3339.jpg
train,cat,cat.3470.jpg
train,cat,cat.11464.jpg
train,cat,cat.816.jpg
train,cat,cat.3961.jpg
train,cat,cat.12350.jpg
train,cat,cat.8994.jpg
train,cat,cat.5478.jpg
train,cat,cat.11767.jpg
train,cat,cat.7343.jpg
train,cat,cat.10354.jpg
train,cat,cat.8133.jpg
train,cat,cat.3185.jpg
train,cat,cat.5467.jpg
train,cat,cat.2327.jpg
train,cat,cat.12287.jpg
train,cat,cat.7.jpg
train,cat,cat.3455.jpg
train,cat,cat.8250.jpg
train,cat,cat.3365.jpg
train,cat,cat.331.jpg
train,cat,cat.141.jpg
train,cat,cat.1037.jpg
train,cat,cat.1842.jpg
train,cat,cat.10805.jpg
train,cat,cat.5395.jpg
train,cat,cat.7639.jpg
train,cat,cat.11885.jpg
train,cat,cat.10673.jpg
train,cat,cat.3963.jpg
train,cat,cat.321.jpg
train,cat,cat.11833.jpg
train,cat,cat.5045.jpg
train,cat,cat.4908.jpg
train,cat,cat.3457.jpg
train,cat,cat.756.jpg
train,cat,cat.4515.jpg
train,cat,cat.6335.jpg
train,cat,cat.386.jpg
train,cat,cat.9132.jpg
train,cat,cat.11416.jpg
train,cat,cat.467.jpg
train,cat,cat.4436.jpg
train,cat,cat.10160.jpg
train,cat,cat.1321.jpg
train,cat,cat.4900.jpg
train,cat,cat.4776.jpg
train,cat,cat.3559.jpg
train,cat,cat.4795.jpg
train,cat,cat.11969.jpg
train,cat,cat.2403.jpg
train,cat,cat.8302.jpg
train,cat,cat.8072.jpg
train,cat,cat.2665.jpg
train,cat,cat.9035.jpg
train,cat,cat.12270.jpg
train,cat,cat.2471.jpg
train,cat,cat.2666.jpg
train,cat,cat.8324.jpg
train,cat,cat.7364.jpg
train,cat,cat.743.jpg
train,cat,cat.5562.jpg
train,cat,cat.6885.jpg
train,cat,cat.8426.jpg
train,cat,cat.4546.jpg
train,cat,cat.4335.jpg
train,cat,cat.678.jpg
train,cat,cat.2174.jpg
train,cat,cat.5859.jpg
train,cat,cat.6085.jpg
train,cat,cat.1135.jpg
train,cat,cat.1059.jpg
train,cat,cat.4094.jpg
train,cat,cat.11209.jpg
train,cat,cat.2046.jpg
train,cat,cat.11597.jpg
train,cat,cat.8311.jpg
train,cat,cat.8122.jpg
train,cat,cat.2132.jpg
train,cat,cat.4383.jpg
train,cat,cat.2376.jpg
train,cat,cat.5399.jpg
train,cat,cat.6830.jpg
train,cat,cat.5371.jpg
train,cat,cat.5986.jpg
train,cat,cat.3464.jpg
train,cat,cat.12342.jpg
train,cat,cat.5089.jpg
train,cat,cat.5862.jpg
train,cat,cat.7977.jpg
train,cat,cat.6220.jpg
train,cat,cat.4462.jpg
train,cat,cat.10600.jpg
train,cat,cat.10157.jpg
train,cat,cat.9682.jpg
train,cat,cat.3655.jpg
train,cat,cat.10811.jpg
train,cat,cat.10544.jpg
train,cat,cat.5620.jpg
train,cat,cat.2092.jpg
train,cat,cat.4920.jpg
train,cat,cat.215.jpg
train,cat,cat.6388.jpg
train,cat,cat.5789.jpg
train,cat,cat.7176.jpg
train,cat,cat.8728.jpg
train,cat,cat.2516.jpg
train,cat,cat.6646.jpg
train,cat,cat.10737.jpg
train,cat,cat.11326.jpg
train,cat,cat.5960.jpg
train,cat,cat.5805.jpg
train,cat,cat.8317.jpg
train,cat,cat.11092.jpg
train,cat,cat.5966.jpg
train,cat,cat.3769.jpg
train,cat,cat.2864.jpg
train,cat,cat.10315.jpg
train,cat,cat.6610.jpg
